version,instance,result,time
v_02,../instances/set_1_2/p1.2.a.txt,0.000000,199
v_02,../instances/set_1_2/p1.2.a.txt,0.000000,194
v_02,../instances/set_1_2/p1.2.a.txt,0.000000,195
v_02,../instances/set_1_2/p1.2.a.txt,0.000000,196
v_02,../instances/set_1_2/p1.2.b.txt,15.000000,227
v_02,../instances/set_1_2/p1.2.b.txt,15.000000,230
v_02,../instances/set_1_2/p1.2.b.txt,15.000000,230
v_02,../instances/set_1_2/p1.2.b.txt,15.000000,230
v_02,../instances/set_1_2/p1.2.c.txt,20.000000,544
v_02,../instances/set_1_2/p1.2.c.txt,20.000000,547
v_02,../instances/set_1_2/p1.2.c.txt,20.000000,552
v_02,../instances/set_1_2/p1.2.c.txt,20.000000,563
v_02,../instances/set_1_2/p1.2.d.txt,30.000000,1337
v_02,../instances/set_1_2/p1.2.d.txt,30.000000,1328
v_02,../instances/set_1_2/p1.2.d.txt,30.000000,1374
v_02,../instances/set_1_2/p1.2.d.txt,30.000000,1378
v_02,../instances/set_1_2/p1.2.e.txt,45.000000,2575
v_02,../instances/set_1_2/p1.2.e.txt,45.000000,2677
v_02,../instances/set_1_2/p1.2.e.txt,45.000000,2799
v_02,../instances/set_1_2/p1.2.e.txt,45.000000,3571
v_02,../instances/set_1_2/p1.2.f.txt,80.000000,5367
v_02,../instances/set_1_2/p1.2.f.txt,80.000000,5327
v_02,../instances/set_1_2/p1.2.f.txt,80.000000,5354
v_02,../instances/set_1_2/p1.2.f.txt,80.000000,5409
v_02,../instances/set_1_2/p1.2.g.txt,90.000000,7087
v_02,../instances/set_1_2/p1.2.g.txt,90.000000,6993
v_02,../instances/set_1_2/p1.2.g.txt,90.000000,7091
v_02,../instances/set_1_2/p1.2.g.txt,90.000000,6970
v_02,../instances/set_1_2/p1.2.h.txt,110.000000,8286
v_02,../instances/set_1_2/p1.2.h.txt,110.000000,8386
v_02,../instances/set_1_2/p1.2.h.txt,110.000000,8195
v_02,../instances/set_1_2/p1.2.h.txt,110.000000,8293
v_02,../instances/set_1_2/p1.2.i.txt,130.000000,9114
v_02,../instances/set_1_2/p1.2.i.txt,130.000000,9144
v_02,../instances/set_1_2/p1.2.i.txt,130.000000,9208
v_02,../instances/set_1_2/p1.2.i.txt,130.000000,9085
v_02,../instances/set_1_2/p1.2.j.txt,155.000000,10415
v_02,../instances/set_1_2/p1.2.j.txt,150.000000,10523
v_02,../instances/set_1_2/p1.2.j.txt,150.000000,10539
v_02,../instances/set_1_2/p1.2.j.txt,150.000000,10541
v_02,../instances/set_1_2/p1.2.k.txt,165.000000,11681
v_02,../instances/set_1_2/p1.2.k.txt,170.000000,11542
v_02,../instances/set_1_2/p1.2.k.txt,170.000000,11505
v_02,../instances/set_1_2/p1.2.k.txt,170.000000,11573
v_02,../instances/set_1_2/p1.2.l.txt,180.000000,12986
v_02,../instances/set_1_2/p1.2.l.txt,185.000000,13016
v_02,../instances/set_1_2/p1.2.l.txt,185.000000,12912
