version,instance,result,time
v_01,../instances/set_1_3/p1.3.h.txt,70.000000,1921
v_01,../instances/set_1_3/p1.3.h.txt,70.000000,1901
v_01,../instances/set_1_3/p1.3.h.txt,70.000000,1906
v_01,../instances/set_1_3/p1.3.i.txt,100.000000,3877
v_01,../instances/set_1_3/p1.3.i.txt,100.000000,3909
v_01,../instances/set_1_3/p1.3.i.txt,105.000000,3806
v_01,../instances/set_1_3/p1.3.i.txt,100.000000,3866
v_01,../instances/set_1_3/p1.3.j.txt,105.000000,4711
v_01,../instances/set_1_3/p1.3.j.txt,110.000000,4618
v_01,../instances/set_1_3/p1.3.j.txt,105.000000,4576
v_01,../instances/set_1_3/p1.3.j.txt,105.000000,4602
v_01,../instances/set_1_3/p1.3.k.txt,135.000000,5373
v_01,../instances/set_1_3/p1.3.k.txt,130.000000,5288
v_01,../instances/set_1_3/p1.3.k.txt,135.000000,5367
v_01,../instances/set_1_3/p1.3.k.txt,135.000000,5568
v_01,../instances/set_1_3/p1.3.l.txt,145.000000,6310
v_01,../instances/set_1_3/p1.3.l.txt,150.000000,6247
v_01,../instances/set_1_3/p1.3.l.txt,150.000000,6275
v_01,../instances/set_1_3/p1.3.l.txt,150.000000,6378
v_01,../instances/set_1_3/p1.3.m.txt,170.000000,6847
v_01,../instances/set_1_3/p1.3.m.txt,170.000000,6444
v_01,../instances/set_1_3/p1.3.m.txt,170.000000,6486
v_01,../instances/set_1_3/p1.3.m.txt,170.000000,6596
v_01,../instances/set_1_3/p1.3.n.txt,180.000000,7941
v_01,../instances/set_1_3/p1.3.n.txt,180.000000,7849
v_01,../instances/set_1_3/p1.3.n.txt,185.000000,7846
v_01,../instances/set_1_3/p1.3.n.txt,185.000000,8117
v_01,../instances/set_1_3/p1.3.o.txt,195.000000,8600
v_01,../instances/set_1_3/p1.3.o.txt,195.000000,8571
v_01,../instances/set_1_3/p1.3.o.txt,195.000000,8533
v_01,../instances/set_1_3/p1.3.o.txt,195.000000,8507
v_01,../instances/set_1_3/p1.3.p.txt,205.000000,9079
v_01,../instances/set_1_3/p1.3.p.txt,205.000000,9191
v_01,../instances/set_1_3/p1.3.p.txt,210.000000,9076
v_01,../instances/set_1_3/p1.3.p.txt,210.000000,9094
v_01,../instances/set_1_3/p1.3.q.txt,220.000000,9983
v_01,../instances/set_1_3/p1.3.q.txt,220.000000,9452
